Headline Berita
"Dr Andriyanto, Alumnus UNAIR yang Dilantik Menjadi Pj Bupati Pasuruan"
BERITA TERKINI
Websvaganza 2023 Hadirkan Bazar Kosmetik untuk Dorong Kepercayaan Diri dan Hilangkan Insecure
Mahasiswa UNAIR Sabet Juara 1 Kategori Lomba Infografis KOMINFO Jawa Timur
Pentingnya Mengenal Potensi Diri Melalui Pemahaman Emosional
Dukung Pendidikan Merata UNAIR Berikan Beasiswa Siswa Sekolah Dasar
Apa Sih UKM Wanala ?
INFOGRAFIK
KATA PAKAR
"Ancam Boikot SpaceX, Dosen UNAIR Sebut Israel Tidak Ingin Aksi Genosida Diketahui Dunia Luar"
"Dr Andriyanto, Alumnus UNAIR yang Dilantik Menjadi Pj Bupati Pasuruan"
KAMPUS MERDEKA
Kisah Mahasiswa UNAIR Eksplor Kanada Melalui IISMA di University of Waterloo
Perjalanan Menantang Mahasiswa UNAIR Ikuti IISMA di University of Szeged Hungaria
PRESTASI
Mahasiswa UNAIR Sabet Juara 1 Kategori Lomba Infografis KOMINFO Jawa Timur
"Gagas Platform Digital Kepenulisan Ilmiah, Mahasiswa FIB UNAIR Sabet Juara Presentator Terbaik"
"Sajikan Ide Pengisian Energi Hybrid, Mahasiswa UNAIR Raih Bronze Medal FAPERTA FAIR 4"
INOVASI
Tim PKM-RE UNAIR Ciptakan Terapi untuk Penderita Cedera Sumsum Tulang Belakang
Tim PKM-RE UNAIR Ciptakan Formula untuk Tingkatkan Produksi Udang Putih
Tim PKM-RE FPK UNAIR Ciptakan Produk Penghambat Bakteri pada Ikan Pindang
BERITA FOTO
Foto: Kunjungan MWA Universitas Pendidikan Indonesia
Foto : UNAIR Berikan Beasiswa Siswa Sekolah Dasar di Surabaya
Foto : Universitas Airlangga Gelar Pameran Pendidikan Taiwan Higher Education Fair 2023
ARTIKEL ILMIAH POPULER
Konversi Gas Karbon Dioksida Menjadi Asam Asetat: Solusi Pemanfaatan Gas Rumah Kaca
Meningkatkan Kemampuan CZTS sebagai Bahan Sel Surya
Efektivitas dan Tantangan Pengajaran Online dalam Krisis COVID-19
BERITA FAKULTAS
Accounting Fair I
DULINAN : Peduli Anak Jalanan
Menarik ! Mahasiswa Perlu Belajar tentang Big Data : Machine Learning Prediction
MAHASISWA
Mahasiswa UNAIR Sabet Juara 1 Kategori Lomba Infografis KOMINFO Jawa Timur
Kafilah UNAIR Siap Memulai Perjalanan ke MTQ Nasional
BEM UNAIR Laksanakan Aksi Peduli Bumi Lewat Program Earth Need Us 2023
ALUMNI
IKA UNAIR Gandeng Pemkab Gresik Bantu Turunkan Stunting
Alumnus UNAIR Gandeng Masyarakat Lokal Kembangkan Eduwisata di Ponorogo
"Dulu Wisudawan Berprestasi, Kini Raih Beasiswa LPDP di UK"
BERITA
Tim Scientia UNAIR Gapai Juara 2 Call For Paper AIYEL
BEM FST dan Rawatungga Gelar Kolaborasi Webinar Peningkatan Keterampilan Mahasiswa
"Infografik: Profil Guru Besar Prof. Dian Yulie Reindrawati, S.Sos., M.M., Ph.D, CHE"
Kesiapan Rumah Sakit Rujukan COVID-19 Dalam Menghadapi Pandemi COVID-19 di Jawa Timur
Analisis Genom Mitokondria pada Clarias camerunensis yang Endemik di Kamerun
Analisis Pengetahuan Tentang Kelainan Mulut Berpotensi Ganas pada Komunitas Sepeda Motor Pria di Indonesia
Rilis: Gubes UNAIR Ungkap Potensi Smart Breeding untuk Dorong Swasembada Daging
Apakah Indonesia Negara Agraris dengan Indeks Ketahanan Pangan Tinggi?
MARI TERHUBUNG
